"----------------------------------
Data Retrieval: Starting
----------------------------------"
"***********
Beginning callset group: 0
***********"
"Processed Record 58 in callset group: 2 | elliot lake, ca"
"Processed Record 59 in callset group: 2 | torbay, ca"
"***********
Beginning callset group: 3
***********"
"Processed Record 0 in callset group: 3 | bambous virieux, mu"
"Processed Record 1 in callset group: 3 | toumodi, ci"
"Processed Record 2 in callset group: 3 | hithadhoo, mv"
"Skipping Record 3 in callset group: 3 | el balyana, eg NOT FOUND"
"Processed Record 4 in callset group: 3 | sindor, ru"
"Processed Record 5 in callset group: 3 | kaitangata, nz"
"Processed Record 6 in callset group: 3 | yichang, cn"
"Processed Record 7 in callset group: 3 | ponta do sol, cv"
"Skipping Record 8 in callset group: 3 | gat, ly NOT FOUND"
"Processed Record 9 in callset group: 3 | metro, id"
"Processed Record 10 in callset group: 3 | waynesville, us"
"Processed Record 11 in callset group: 3 | faanui, pf"
"Processed Record 12 in callset group: 3 | calama, cl"
"Processed Record 13 in callset group: 3 | eureka, us"
"Processed Record 14 in callset group: 3 | corner brook, ca"
"Skipping Record 15 in callset group: 3 | yaan, cn NOT FOUND"
"Processed Record 16 in callset group: 3 | victoria, sc"
"Processed Record 17 in callset group: 3 | constantine, dz"
"Processed Record 18 in callset group: 3 | rasova, ro"
"Processed Record 19 in callset group: 3 | kawhia, nz"
"Processed Record 20 in callset group: 3 | brae, gb"
"Processed Record 21 in callset group: 3 | nevyansk, ru"
"Processed Record 22 in callset group: 3 | vestmannaeyjar, is"
"Processed Record 23 in callset group: 3 | mount gambier, au"
"Processed Record 24 in callset group: 3 | nara, ml"
"Processed Record 25 in callset group: 3 | eisenberg, de"
"Skipping Record 26 in callset group: 3 | lolua, tv NOT FOUND"
"Processed Record 27 in callset group: 3 | port hardy, ca"
"Processed Record 28 in callset group: 3 | srednekolymsk, ru"
"Processed Record 29 in callset group: 3 | teguldet, ru"
"Processed Record 30 in callset group: 3 | meulaboh, id"
"Processed Record 31 in callset group: 3 | necochea, ar"
"Processed Record 32 in callset group: 3 | rybnoye, ru"
"Processed Record 33 in callset group: 3 | garden city, us"
"Processed Record 34 in callset group: 3 | kanungu, ug"
"Processed Record 35 in callset group: 3 | muisne, ec"
"Processed Record 36 in callset group: 3 | krasnaya gora, ru"
"Processed Record 37 in callset group: 3 | sola, vu"
"Processed Record 38 in callset group: 3 | opuwo, na"
"Processed Record 39 in callset group: 3 | berlevag, no"
"Processed Record 40 in callset group: 3 | grand gaube, mu"
"Processed Record 41 in callset group: 3 | luderitz, na"
"Processed Record 42 in callset group: 3 | mehamn, no"
"Skipping Record 43 in callset group: 3 | samusu, ws NOT FOUND"
"Processed Record 44 in callset group: 3 | olga, ru"
"Processed Record 45 in callset group: 3 | okha, ru"
"Skipping Record 46 in callset group: 3 | bossembele, cf NOT FOUND"
"Processed Record 47 in callset group: 3 | stabat, id"
"Processed Record 48 in callset group: 3 | hilo, us"
"Processed Record 49 in callset group: 3 | dikson, ru"
"Processed Record 50 in callset group: 3 | springbok, za"
"Processed Record 51 in callset group: 3 | souillac, mu"
"Processed Record 52 in callset group: 3 | sorland, no"
"Processed Record 53 in callset group: 3 | gorgan, ir"
"Processed Record 54 in callset group: 3 | young, uy"
"Processed Record 55 in callset group: 3 | biak, id"
"Skipping Record 56 in callset group: 3 | amderma, ru NOT FOUND"
"Processed Record 57 in callset group: 3 | qaqortoq, gl"
"Processed Record 58 in callset group: 3 | husavik, is"
"Skipping Record 59 in callset group: 3 | umzimvubu, za NOT FOUND"
"***********
Beginning callset group: 4
***********"
"Processed Record 0 in callset group: 4 | santa maria, cv"
"Processed Record 1 in callset group: 4 | cape canaveral, us"
"Processed Record 2 in callset group: 4 | aguada de pasajeros, cu"
"Processed Record 3 in callset group: 4 | dicabisagan, ph"
"Processed Record 4 in callset group: 4 | kysyl-syr, ru"
"Processed Record 5 in callset group: 4 | dumai, id"
"Processed Record 6 in callset group: 4 | cascais, pt"
"Processed Record 7 in callset group: 4 | charters towers, au"
"Processed Record 8 in callset group: 4 | nantucket, us"
"Processed Record 9 in callset group: 4 | saint-philippe, re"
"Processed Record 10 in callset group: 4 | balaipungut, id"
"Processed Record 11 in callset group: 4 | balestrand, no"
"Processed Record 12 in callset group: 4 | palmer, us"
"Processed Record 13 in callset group: 4 | manono, cd"
"Processed Record 14 in callset group: 4 | dalby, au"
"Processed Record 15 in callset group: 4 | itacoatiara, br"
"Skipping Record 16 in callset group: 4 | bur gabo, so NOT FOUND"
"Processed Record 17 in callset group: 4 | kirakira, sb"
"Processed Record 18 in callset group: 4 | kapit, my"
"Processed Record 19 in callset group: 4 | katherine, au"
"Processed Record 20 in callset group: 4 | teknaf, bd"
"Processed Record 21 in callset group: 4 | dubbo, au"
"Processed Record 22 in callset group: 4 | kamenka, ru"
"Processed Record 23 in callset group: 4 | makakilo city, us"
"Processed Record 24 in callset group: 4 | assiniboia, ca"
"Processed Record 25 in callset group: 4 | balikpapan, id"
"Processed Record 26 in callset group: 4 | banda aceh, id"
"Processed Record 27 in callset group: 4 | marrakesh, ma"
"Processed Record 28 in callset group: 4 | mount isa, au"
"Processed Record 29 in callset group: 4 | kavieng, pg"
"Processed Record 30 in callset group: 4 | shakiso, et"
