,CityID,Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date_Time
1134,3461425,Ilhabela,BR,-23.78,-45.36,71.4,82,55,10.51,1573884473
1135,1150007,Trang,TH,7.56,99.61,90.36,55,87,4.74,1573884473
1136,6148373,Sioux Lookout,CA,50.1,-91.92,17.6,56,90,6.93,1573884311
1137,548946,Khvorostyanka,RU,52.62,48.95,33.62,68,67,8.34,1573884473
1138,5309842,Prescott,US,34.54,-112.47,55.0,49,1,5.82,1573884327
1139,3450063,Santa Maria da Vitoria,BR,-13.39,-44.19,70.25,83,83,3.29,1573884473
1140,3665098,Barcelos,BR,-0.97,-62.93,74.19,95,61,1.1,1573884473
1141,1645528,Denpasar,ID,-8.65,115.22,87.8,70,40,8.05,1573884415
1142,2398269,Moanda,GA,-1.55,13.22,71.15,97,100,0.38,1573884474
1143,5993072,Kitimat,CA,54.02,-128.69,42.8,100,75,9.17,1573884474
1144,1259395,Porbandar,IN,21.64,69.61,86.0,55,20,8.05,1573884474
1145,1799869,Nanning,CN,22.83,108.3,77.0,73,40,11.18,1573884474
1146,6160806,Sylvan Lake,CA,52.31,-114.09,37.4,86,75,11.41,1573884474
1147,2962450,Moville,IE,55.18,-7.05,34.84,91,100,2.06,1573884474
1148,940424,Wesselsbron,ZA,-27.85,26.36,68.0,58,0,6.93,1573884474
1149,719640,Jaszladany,HU,47.37,20.17,53.6,87,22,18.34,1573884474
1150,2345094,Daura,NG,13.04,8.32,74.77,20,99,7.63,1573884474
1151,2028028,Aksha,RU,50.28,113.29,13.57,39,92,5.7,1573884474
1152,4229476,Warner Robins,US,32.62,-83.6,45.0,87,90,12.75,1573884474
1153,1215350,Bireun,ID,5.2,96.7,79.43,70,74,5.1,1573884474
1154,2059470,Victor Harbor,AU,-35.55,138.62,66.0,42,35,21.92,1573884474
1155,1264976,Leh,IN,34.16,77.58,20.14,76,100,2.44,1573884475
1156,3019265,Evreux,FR,49.02,1.15,39.99,93,90,8.05,1573884475
1157,4726440,San Juan,US,26.19,-98.16,48.2,81,1,3.36,1573884430
1158,964406,Port Shepstone,ZA,-30.74,30.45,67.32,86,76,3.85,1573884475
1159,2223527,Mfou,CM,3.72,11.64,71.6,94,75,3.36,1573884536
1160,739636,Sile,TR,41.18,29.61,57.2,82,0,8.05,1573884536
1161,493201,Shuyskoye,RU,59.37,41.03,31.06,93,100,3.8,1573884536
1162,2446267,Dakoro,NE,14.51,6.76,76.89,18,0,7.29,1573884536
1163,3391889,Pitimbu,BR,-7.47,-34.81,78.8,78,40,6.93,1573884536
1164,893485,Chiredzi,ZW,-21.05,31.67,77.83,58,0,9.44,1573884537
1165,3421982,Maniitsoq,GL,65.42,-52.9,29.52,73,100,12.75,1573884537
